dev_id,datetime,battery,batteryDiff,temperature,temperatureDiff,ObjectId
r718b140-06f7,2023/09/25 14:00:00+00,3.6,,24.7,,1
r718b140-06f7,2023/09/25 15:00:00+00,3.6,0,24.9,0.199999999999999,2
r718b140-06f7,2023/09/25 16:00:00+00,3.6,0,24.7,0,3
r718b140-06f7,2023/09/25 17:00:00+00,3.6,0,24.9,0.199999999999999,4
r718b140-06f7,2023/09/25 18:00:00+00,3.6,0,29.5,3.8,5
r718b140-06f7,2023/09/25 20:00:00+00,3.6,0,23.4,-2.3,6
r718b140-06f7,2023/09/26 15:00:00+00,3.6,0,24.4,1,7
r718b140-06f7,2023/09/28 06:00:00+00,3.6,0,21.3,-3.1,8
r718b140-06f7,2023/09/28 13:00:00+00,3.6,0,24.7,3.4,9
r718b140-06f7,2023/09/28 15:00:00+00,3.6,0,27.5,1.5,10
r718b140-06f7,2023/09/28 18:00:00+00,3.6,0,30.7,3.8,11
r718b140-06f7,2023/09/28 21:00:00+00,3.6,0,28.7,-0.5,12
r718b140-06f7,2023/10/01 13:00:00+00,3.6,,27.5,,13
r718b140-06f7,2023/10/01 14:00:00+00,3.6,0,33,2.2,14
r718b140-06f7,2023/10/02 10:00:00+00,3.6,0,18.5,-14.5,15
r718b140-06f7,2023/10/02 11:00:00+00,3.6,0,20.3,0.800000000000001,16
r718b140-06f7,2023/10/02 12:00:00+00,3.6,0,21.3,0.5,17
r718b140-06f7,2023/10/02 13:00:00+00,3.6,0,20.8,-0.199999999999999,18
r718b140-06f7,2023/11/15 13:00:00+00,3.6,,28.5,,19
r718b140-06f7,2023/12/21 18:00:00+00,3.6,0,-7.6,0,20
r718b140-06f7,2023/12/21 19:00:00+00,3.6,0,-7.6,0,21
r718b140-06f7,2023/12/21 20:00:00+00,3.6,0,-7.6,0,22
r718b140-06f7,2023/12/21 21:00:00+00,3.6,0,-7.9,0,23
r718b140-06f7,2023/12/21 22:00:00+00,3.6,0,-8.1,0,24
